"","degree","closeness","betweness","genus","name","hub_score","IgA","muc"
"65",6,0.00443452640003855,520,"Bacteria","65",0.0140963282350387,"yes","no"
"66",3,0.00397300145987013,93,"Sutterella","66",0.00827451851396702,"yes","no"
"67",4,0.00482835396137857,31,"Muribaculaceae","67",0.211446831056773,"no","no"
"68",3,0.00421412757701645,15,"Rikenellaceae_RC9_gut_group","68",0.0628181637829071,"no","no"
"69",3,0.00434156366598888,60,"Prevotellaceae_UCG-003","69",0.0257241721226361,"no","no"
"70",4,0.00457357326278788,334,"Collinsella","70",0.0259638230004957,"yes","yes"
"71",3,0.00430371684013484,104,"Olsenella","71",0.0208609669483688,"no","no"
"72",3,0.00426310649498854,123,"Candidatus_Stoquefichus","72",0.0250988628035584,"no","no"
"73",3,0.00359829702093252,258,"Solobacterium","73",0.00399889713106325,"no","no"
"74",4,0.00527341243727707,156,"Slackia","74",0.263236268050545,"yes","no"
"75",4,0.00469825160598755,74,"Firmicutes","75",0.0528026753916351,"yes","yes"
"76",4,0.00530898704581431,529,"Erysipelotrichales_uncultured","76",0.108146683030384,"no","no"
"77",5,0.00411540864337081,199,"Bacteria","77",0.00990842401461342,"no","yes"
"78",1,0.00368693070856006,0,"Bacteroides","78",0.00158570680818579,"yes","no"
"79",2,0.00330317475480043,480,"Bacteria","79",0.00224496799102704,"no","no"
"80",2,0.00225053844312611,0,"Clostridium_sensu_stricto_1","80",4.26129515699118e-06,"no","no"
"81",1,0.00347047468809348,0,"[Ruminococcus]_torques_group","81",0.00068120256555934,"no","no"
"82",1,0.00363067838045561,0,"[Ruminococcus]_torques_group","82",0.0144353509672287,"no","no"
"83",3,0.00361691826935467,146,"Genicularia","83",0.00429961374315579,"no","no"
"84",0,NA,0,"Bacteroides","84",5.88898981313994e-17,"no","no"
"85",3,0.00433296511701903,35,"Rikenellaceae_RC9_gut_group","85",0.0238915363533581,"yes","no"
"86",2,0.00368021625625133,101,"Megamonas","86",0.00235216786441391,"no","no"
"87",6,0.00526793216001812,325,"Nizymenia","87",0.300859781721951,"no","no"
"88",8,0.00544530891792096,293,"Phascolarctobacterium","88",0.432347020379089,"no","no"
"89",3,0.00484644192433001,182,"Phascolarctobacterium","89",0.174493829818433,"no","no"
"90",1,0.003720731725156,0,"Blautia","90",0.0314746144298584,"no","no"
"91",4,0.0040116129642303,239,"Lachnospiraceae","91",0.0071238310465578,"no","yes"
"92",5,0.00448370039626103,404,"Blautia","92",0.0263323257743873,"no","yes"
"93",1,0.00418304113216149,0,"Lachnospiraceae","93",0.0255940499272873,"yes","no"
"94",1,0.00374222298868159,0,"Insecta","94",0.00608935706164811,"yes","no"
"95",2,0.0041044451089604,0,"Mammalia","95",0.0438697382929998,"no","no"
"96",3,0.00450752961358022,246,"Rhabditida","96",0.0545559221618964,"yes","yes"
"97",1,0.00331083578666917,0,"Bacteria","97",0.00065500264979884,"no","no"
"98",2,0.00229144872777269,123,"Naganishia","98",1.42126632540993e-05,"no","no"
"99",2,0.00413924426290844,5,"Neoascochyta","99",0.0946783857130529,"no","no"
"100",4,0.00484276408175085,365,"Neoascochyta","100",0.126189078175637,"no","no"
"101",3,0.00302444973407165,363,"Epicoccum","101",0.000785853265562981,"no","no"
"102",0,NA,0,"Epicoccum","102",5.88898981313994e-17,"no","no"
"103",0,NA,0,"Preussia","103",5.88898981313994e-17,"no","no"
"104",1,0.00322344866801305,0,"Preussia","104",0.00403756827641932,"no","no"
"105",0,NA,0,"Preussia","105",5.88898981313994e-17,"no","no"
"106",1,0.00467187521806837,0,"Curvularia","106",0.140455623896973,"no","no"
"107",4,0.00413942126373757,93,"Bacteroides","107",0.0244292347123004,"no","no"
"108",2,0.0029500661528987,363,"Peptoclostridium","108",0.000215355157610719,"no","no"
"109",4,0.00478790276426397,245,"Escherichia-Shigella","109",0.21356877146302,"no","no"
"110",2,0.00220697097916544,0,"Diptera","110",4.9270647727991e-06,"no","no"
"111",2,0.00395531096359997,105,"Blautia","111",0.00481163766868429,"no","no"
"112",3,0.00393850536310233,0,"Fusobacterium","112",0.00993480045265761,"yes","no"
"113",1,0.0032964062576025,0,"Collinsella","113",0.000284352234230543,"no","no"
"114",2,0.00436151669722457,101,"Eukarya","114",0.0955447790092471,"no","yes"
"115",8,0.0052544111785725,266,"Eukarya","115",0.567088338714607,"no","no"
"116",9,0.00465099467072437,981,"Unknown_domain","116",0.0376598170449368,"yes","yes"
"117",1,2.4770905157506,0,"Eukarya","117",4.41674235985496e-17,"no","no"
"118",1,2.08701984899724,0,"Eukarya","118",4.41674235985496e-17,"no","no"
"119",2,0.00258121879939481,244,"Tremellales","119",0.000115195568837454,"no","no"
"120",3,0.00490428717135822,232,"Cryptosporidium","120",0.194956913051936,"no","no"
"121",2,0.00452071475046968,19,"Bipolaris","121",0.118945670962728,"no","no"
"122",3,0.00351544246482577,0,"Neophaeosphaeria","122",0.00452857499889321,"no","no"
"123",1,0.00403009929221165,0,"Diphyllobothriidea","123",0.00390546213426239,"no","no"
"124",4,0.00453651034940854,43,"Insecta","124",0.183748747074183,"no","no"
"125",0,NA,0,"Cyclophyllidea","125",5.88898981313994e-17,"no","no"
"126",1,2.46159205006035,0,"uncultured_uncultured","126",5.15286608649745e-17,"no","no"
"127",3,0.00455359832437726,189,"Ophiosphaerella","127",0.063613208391907,"no","no"
"128",1,0.00360052766052569,0,"Gregarina","128",0.00700926057902045,"no","no"
"129",1,2.4770905157506,0,"Gregarina","129",4.41674235985496e-17,"no","no"
"130",1,2.08701984899724,0,"Gregarina","130",4.41674235985496e-17,"no","no"
"131",11,0.00580915271766501,807,"Lecanicephalidea","131",0.515492657574284,"no","no"
"132",1,0.00397772168238436,0,"Eukarya","132",0.0203522901006864,"no","no"
"133",3,0.00349368082953453,117,"Unknown_domain","133",0.00461772737967957,"no","no"
"134",3,0.00472503536560156,725,"Pleosporales","134",0.0589031756599821,"no","no"
"135",5,0.00483116533711377,250,"Sordariomycetes","135",0.249887685806796,"no","no"
"136",2,0.00461061900647905,123,"Gregarina","136",0.0468246592728245,"no","no"
"137",2,0.00513187024130859,123,"Eukarya","137",0.0297995845844681,"no","no"
"138",22,0.00637126882446868,2586,"Heteromita","138",1,"no","no"
"139",5,0.00466613906049908,205,"Unknown_domain","139",0.22304434259829,"no","no"
"140",7,0.00556076362068308,311,"Eugregarinorida","140",0.493917424505632,"no","no"
"141",8,0.00571788390485718,1359,"Capnodiales","141",0.416174553388544,"no","no"
"142",5,0.00436389526221694,956,"Achromobacter","142",0.0250416129233317,"no","no"
"143",1,3.28893063320895,0,"Bacteria","143",5.88898981313994e-17,"no","no"
