"sample_name" "organism" "host" "collection_date" "geo_loc_name" "lat_lon"
"P2-FLD0021_S21_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0021_S21_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0021_S21_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0022_S22_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0022_S22_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0022_S22_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0023_S23_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0023_S23_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0023_S23_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0024_S24_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0024_S24_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0024_S24_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0025_S25_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0025_S25_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0025_S25_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0026_S26_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0026_S26_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0026_S26_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0027_S27_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0027_S27_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0027_S27_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0028_S28_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0028_S28_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0028_S28_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0029_S29_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
